BUS_SERVICE_NAME_TXT,OPR_DESC_TXT,ORIG_DEST_TXT,BUS_DIRCTN_TXT,BUS_ROUTE_SEQ_NUM,BUS_STOP_CD,BUS_STOP_DESC_TXT,RD_NAM_TXT,LONGTD_TXT,LATTD_TXT,OP_HR_TXT,FARE_TXT
PBS from Grande Vista to Yio Chu Kang/Ang Mo Kio MRT Stations (loop),The Management Corporation Strata Title Plan No. 1895,Cactus Drive - Ang Mo Kio Avenue 6/Ang Mo Kio Avenue 8,1,1,-,Grande Vista Condomium ,Cactus Drive,103.852418,1.388806,"Monday to Fridays (excluding Public Holidays)
6.15am to 8.30am/30 to 45 minutes (supplementary trips in operation)
9.00am to 12.45pm/45 to 60 minutes
3.15pm to 5.15pm/60 minutes
6.15pm to 6.45pm/30 minutes

Saturday and Sunday (excluding Public Holidays)
7.00am to 12.45pm/45 to 60 minutes
3.15pm to 7.45pm/30 to 60 minutes

Only supplementary trips operated during morning peak hours on weekdays will serve BS 55309
Yio Chu Kang Station is not served by the supplementary trips operated during morning peak hours on weekdays, as well as scheduled trips at 12.45pm and after 6.00pm.
BS 54399 is not served by the supplementary trips operated during morning peak hours on weekdays and scheduled trip at 7.00am on weekends.", $2.20 per adult per trip; $1.60 per child/ student/ senior citizen per trip 
PBS from Grande Vista to Yio Chu Kang/Ang Mo Kio MRT Stations (loop),The Management Corporation Strata Title Plan No. 1896,Cactus Drive - Ang Mo Kio Avenue 6/Ang Mo Kio Avenue 9,1,2,55309,Opp Ang Mo Kio Police Division Headquarters,Ang Mo Kio Avenue 9,103.8444475,1.384083333,"Monday to Fridays (excluding Public Holidays)
6.15am to 8.30am/30 to 45 minutes (supplementary trips in operation)
9.00am to 12.45pm/45 to 60 minutes
3.15pm to 5.15pm/60 minutes
6.15pm to 6.45pm/30 minutes

Saturday and Sunday (excluding Public Holidays)
7.00am to 12.45pm/45 to 60 minutes
3.15pm to 7.45pm/30 to 60 minutes

Only supplementary trips operated during morning peak hours on weekdays will serve BS 55309
Yio Chu Kang Station is not served by the supplementary trips operated during morning peak hours on weekdays, as well as scheduled trips at 12.45pm and after 6.00pm.
BS 54399 is not served by the supplementary trips operated during morning peak hours on weekdays and scheduled trip at 7.00am on weekends.", $2.20 per adult per trip; $1.60 per child/ student/ senior citizen per trip 
PBS from Grande Vista to Yio Chu Kang/Ang Mo Kio MRT Stations (loop),The Management Corporation Strata Title Plan No. 1895,Cactus Drive - Ang Mo Kio Avenue 6/Ang Mo Kio Avenue 10,1,3,-,PUDO point at Yio Chu Kang MRT Station ,Ang Mo Kio Avenue 8,103.844916,1.375517,"Monday to Fridays (excluding Public Holidays)
6.15am to 8.30am/30 to 45 minutes (supplementary trips in operation)
9.00am to 12.45pm/45 to 60 minutes
3.15pm to 5.15pm/60 minutes
6.15pm to 6.45pm/30 minutes

Saturday and Sunday (excluding Public Holidays)
7.00am to 12.45pm/45 to 60 minutes
3.15pm to 7.45pm/30 to 60 minutes

Only supplementary trips operated during morning peak hours on weekdays will serve BS 55309
Yio Chu Kang Station is not served by the supplementary trips operated during morning peak hours on weekdays, as well as scheduled trips at 12.45pm and after 6.00pm.
BS 54399 is not served by the supplementary trips operated during morning peak hours on weekdays and scheduled trip at 7.00am on weekends.", $2.20 per adult per trip; $1.60 per child/ student/ senior citizen per trip 
PBS from Grande Vista to Yio Chu Kang/Ang Mo Kio MRT Stations (loop),The Management Corporation Strata Title Plan No. 1895,Cactus Drive - Ang Mo Kio Avenue 6/Ang Mo Kio Avenue 11,1,4,54399,Before Ang Mo Kio Station Exit B,Ang Mo Kio Avenue 8,103.8486611,1.371373023,"Monday to Fridays (excluding Public Holidays)
6.15am to 8.30am/30 to 45 minutes (supplementary trips in operation)
9.00am to 12.45pm/45 to 60 minutes
3.15pm to 5.15pm/60 minutes
6.15pm to 6.45pm/30 minutes

Saturday and Sunday (excluding Public Holidays)
7.00am to 12.45pm/45 to 60 minutes
3.15pm to 7.45pm/30 to 60 minutes

Only supplementary trips operated during morning peak hours on weekdays will serve BS 55309
Yio Chu Kang Station is not served by the supplementary trips operated during morning peak hours on weekdays, as well as scheduled trips at 12.45pm and after 6.00pm.
BS 54399 is not served by the supplementary trips operated during morning peak hours on weekdays and scheduled trip at 7.00am on weekends.", $2.20 per adult per trip; $1.60 per child/ student/ senior citizen per trip 
PBS from Grande Vista to Yio Chu Kang/Ang Mo Kio MRT Stations (loop),The Management Corporation Strata Title Plan No. 1895,Cactus Drive - Ang Mo Kio Avenue 6/Ang Mo Kio Avenue 12,1,5,-,Grande Vista Condomium ,Cactus Drive,103.852418,1.388806,"Monday to Fridays (excluding Public Holidays)
6.15am to 8.30am/30 to 45 minutes (supplementary trips in operation)
9.00am to 12.45pm/45 to 60 minutes
3.15pm to 5.15pm/60 minutes
6.15pm to 6.45pm/30 minutes

Saturday and Sunday (excluding Public Holidays)
7.00am to 12.45pm/45 to 60 minutes
3.15pm to 7.45pm/30 to 60 minutes

Only supplementary trips operated during morning peak hours on weekdays will serve BS 55309
Yio Chu Kang Station is not served by the supplementary trips operated during morning peak hours on weekdays, as well as scheduled trips at 12.45pm and after 6.00pm.
BS 54399 is not served by the supplementary trips operated during morning peak hours on weekdays and scheduled trip at 7.00am on weekends.", $2.20 per adult per trip; $1.60 per child/ student/ senior citizen per trip 
PBS 525,Deconti Trans,Buangkok Crescent to Marina Boulevard,1,1,66589,Buangkok Sports Park,Buangkok Crescent,103.8794283,1.381995514,One trip at 8.30am," Adult: $5.00 (cash)
Student/Child/Senior Citizen: $4.00 (cash) "
PBS 525,Deconti Trans,Buangkok Crescent to Marina Boulevard,1,2,66579,Blk 998B,Buangkok Crescent,103.8807041,1.384029735,One trip at 8.30am," Adult: $5.00 (cash)
Student/Child/Senior Citizen: $4.00 (cash) "
PBS 525,Deconti Trans,Buangkok Crescent to Marina Boulevard,1,3,66569,Opposite Blk 991B,Buangkok Link,103.8826279,1.383266488,One trip at 8.30am," Adult: $5.00 (cash)
Student/Child/Senior Citizen: $4.00 (cash) "
PBS 525,Deconti Trans,Buangkok Crescent to Marina Boulevard,1,4,66549,Opposite Blk 980C,Buangkok Link,103.8816728,1.380298306,One trip at 8.30am," Adult: $5.00 (cash)
Student/Child/Senior Citizen: $4.00 (cash) "
PBS 525,Deconti Trans,Buangkok Crescent to Marina Boulevard,1,5,64099,Hougang Secondary School,Hougang Street 93,103.8815725,1.377879324,One trip at 8.30am," Adult: $5.00 (cash)
Student/Child/Senior Citizen: $4.00 (cash) "
PBS 525,Deconti Trans,Buangkok Crescent to Marina Boulevard,1,6,64089,Opposite Hougang 1,Hougang Street 91,103.8802044,1.376099009,One trip at 8.30am," Adult: $5.00 (cash)
Student/Child/Senior Citizen: $4.00 (cash) "
PBS 525,Deconti Trans,Buangkok Crescent to Marina Boulevard,1,7,64499,Regentville,Hougang Avenue 9,103.8782886,1.374882857,One trip at 8.30am," Adult: $5.00 (cash)
Student/Child/Senior Citizen: $4.00 (cash) "
PBS 525,Deconti Trans,Buangkok Crescent to Marina Boulevard,1,8,-,Outside Entrance of The Hundred Palms Residences,Yio Chu Kang Road,103.8777586,1.3732028,One trip at 8.30am," Adult: $5.00 (cash)
Student/Child/Senior Citizen: $4.00 (cash) "
PBS 525,Deconti Trans,Buangkok Crescent to Marina Boulevard,1,9,63209,Toho Green,Yio Chu Kang Road,103.8752212,1.366058048,One trip at 8.30am," Adult: $5.00 (cash)
Student/Child/Senior Citizen: $4.00 (cash) "
PBS 525,Deconti Trans,Buangkok Crescent to Marina Boulevard,1,10,66329,Blk 126,Serangoon North Avenue 1,103.8722864,1.366021722,One trip at 8.30am," Adult: $5.00 (cash)
Student/Child/Senior Citizen: $4.00 (cash) "
PBS 525,Deconti Trans,Buangkok Crescent to Marina Boulevard,1,11,66319,Between Blks 142/148,Serangoon North Avenue 1,103.8739176,1.368218338,One trip at 8.30am," Adult: $5.00 (cash)
Student/Child/Senior Citizen: $4.00 (cash) "
PBS 525,Deconti Trans,Buangkok Crescent to Marina Boulevard,1,12,66309,Blk 112,Serangoon North Avenue 1,103.8719488,1.369273065,One trip at 8.30am," Adult: $5.00 (cash)
Student/Child/Senior Citizen: $4.00 (cash) "
PBS 525,Deconti Trans,Buangkok Crescent to Marina Boulevard,1,13,66349,Opposite Daikin S’pore,Ang Mo Kio Avenue 3,103.8654177,1.3708276,One trip at 8.30am," Adult: $5.00 (cash)
Student/Child/Senior Citizen: $4.00 (cash) "
PBS 525,Deconti Trans,Buangkok Crescent to Marina Boulevard,1,14,54309,Opposite Blk 5022,Ang Mo Kio Avenue 3,103.863066,1.369888353,One trip at 8.30am," Adult: $5.00 (cash)
Student/Child/Senior Citizen: $4.00 (cash) "
PBS 525,Deconti Trans,Buangkok Crescent to Marina Boulevard,1,15,5129,Opp One Upp Pickering,Upper Pickering Street,103.8463467,1.286011667,One trip at 8.30am," Adult: $5.00 (cash)
Student/Child/Senior Citizen: $4.00 (cash) "
PBS 525,Deconti Trans,Buangkok Crescent to Marina Boulevard,1,16,5319,OCBC Centre,Church Street,103.849114,1.284437,One trip at 8.30am," Adult: $5.00 (cash)
Student/Child/Senior Citizen: $4.00 (cash) "
PBS 525,Deconti Trans,Buangkok Crescent to Marina Boulevard,1,17,3381,The Sail,Marina Boulevard,103.8530651,1.281626013,One trip at 8.30am," Adult: $5.00 (cash)
Student/Child/Senior Citizen: $4.00 (cash) "
PBS 525,Deconti Trans,Buangkok Crescent to Marina Boulevard,1,18,3391,Marina Bay Financial Centre,Marina Boulevard,103.8549801,1.280376603,One trip at 8.30am," Adult: $5.00 (cash)
Student/Child/Senior Citizen: $4.00 (cash) "
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,1,96129,Melville Park,Simei Road,103.9579512,1.347458355,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,2,96189,Blk 166,Simei Road,103.9579362,1.345297803,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,3,96261,Blk 233,Simei Street 3,103.9558594,1.344049672,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,4,96161,Opp Simei Station,Simei Street 3,103.9535402,1.342118939,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,5,96251,Bef Changi General Hospital,Simei Street 3,103.9513803,1.340266979,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,6,96109,Opp Blk 3012,Simei Avenue,103.9506733,1.337371182,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,7,85079,Flextronic,Upper Changi Road,103.9501523,1.3339489,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,8,85089,After Sungei Bedok,Upper Changi Road,103.9488033,1.333380024,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,9,85069,Bedok Market Place,Bedok Road,103.9474078,1.331724341,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,10,85059,Bef Jalan Chempaka Kuning,Bedok Road,103.9490661,1.329502222,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,11,85049,Opp Man Fatt Lam Temple,Bedok Road,103.9512487,1.326719987,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,12,85039,Opp Excelsior Gardens,Bedok Road,103.9529859,1.324424974,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,13,85029,Aft Bedok Methodist Church,Bedok Road,103.9542997,1.322618056,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,14,85019,Eastwood Centre,Bedok Road,103.9553447,1.321288333,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,15,94079,Bedok Camp 2,Upper East Coast Road,103.9552433,1.319620006,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,16,94069,Opp Kew Green Condo,Upper East Coast Road,103.9508566,1.318096686,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,17,94059,Temasek Secondary School,Upper East Coast Road,103.9479809,1.317071377,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,18,94049,After Bedok South Avenue 3,Upper East Coast Road,103.9448211,1.316164433,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,19,94089,Calvary Assembly of God Church,Upper East Coast Road,103.9429414,1.315363333,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,20,94039,Opp The Summit ,Upper East Coast Road,103.9406633,1.31485364,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,21,94029,Aft Sennet Road,Upper East Coast Road,103.937505,1.31453306,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,22,94019,Opp Evergreen Avenue,Upper East Coast Road,103.9357495,1.31428516,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,23,93131,Opp Eastern Lagoon II,Bedok South Avenue 1,103.9341583,1.312778334,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,24,2149,Suntec Tower Three,Temasek Boulevard,103.8595553,1.295604598,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,25,2161,After Promenade Station Exit C,Temasek Avenue,103.8609316,1.292685535,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,26,2051,The Float @ Marina Bay,Raffles Avenue,103.8589172,1.289516698,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,27,2061,The Esplanade,Raffles Avenue,103.8564966,1.289872008,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,28,3019,OUE Bayfront,Collyer Quay,103.8531081,1.284245,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,29,3129,UIC Building,Shenton Way,103.8495672,1.278070035,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 531,Ng Ing Tsair Bus Service,Simei - Shenton Way/ Anson Road,1,30,3217,Opp AXA Tower,Shenton Way,103.8479444,1.275522189,One trip at 7.55am, $5.50 (card) / $7.00 (cash) / $95 (monthly) 
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,1,3218,Opp MAS Building,Shenton Way,103.8468781,1.274116652,One trip at 8.00am, $4.50 (card/cash) 
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,2,84259,Blk 88,Bedok North Avenue 4,103.9391068,1.333288076,One trip at 8.00am, $4.50 (card/cash) 
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,3,84231,Blk 85,Bedok North Road,103.938555,1.331738716,One trip at 8.00am, $4.50 (card/cash) 
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,4,84241,Blk 81,Bedok North Road,103.9400487,1.328613929,One trip at 8.00am, $4.50 (card/cash) 
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,5,84281,Blk 180,Bedok North Road,103.9403951,1.326577142,One trip at 8.00am, $4.50 (card/cash) 
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,6,84061,The Tanamera Condo,New Upper Changi Road,103.9422313,1.325847905,One trip at 8.00am, $4.50 (card/cash) 
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,7,84101,Opp Blk 49,Bedok South Avenue 3,103.9442152,1.322982005,One trip at 8.00am, $4.50 (card/cash) 
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,8,84071,Blk 71,Bedok South Road,103.9426001,1.320671384,One trip at 8.00am, $4.50 (card/cash) 
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,9,84081,Opp Blk 40,Bedok South Road,103.9402204,1.320438081,One trip at 8.00am, $4.50 (card/cash) 
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,10,84141,Opp Lions Home for The Elders,Bedok South Road,103.9381742,1.320195187,One trip at 8.00am, $4.50 (card/cash) 
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,11,84111,Temasek Junior College,Bedok South Road,103.935742,1.319588026,One trip at 8.00am, $4.50 (card/cash) 
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,12,3111,Aft Capital Tower,Robinson Road,103.8481012,1.277825954,One trip at 8.00am, $4.50 (card/cash) 
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,13,3071,Opp So Sofitel Singapore,Robinson Road,103.8493803,1.279921325,One trip at 8.00am, $4.50 (card/cash) 
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,14,3031,Raffles Place Station Exit F,Robinson Road,103.8508607,1.282074922,One trip at 8.00am, $4.50 (card/cash) 
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,15,3011,Fullerton Square,Fullerton Road,103.853336,1.285597589,One trip at 8.00am, $4.50 (card/cash) 
PBS 550,City Bus Services,Sumang Walk to Fullerton Road,1,1,65459,Opp Blk 322 CP,Sumang Walk,103.8977217,1.41060953,One trip at 7.35am, $3.80 (card) / $4.00 (cash) / $2.00 (child) 
PBS 550,City Bus Services,Sumang Walk to Fullerton Road,1,2,65449,Blk 315B,Sumang Walk,103.8959312,1.40804081,One trip at 7.35am, $3.80 (card) / $4.00 (cash) / $2.00 (child) 
PBS 550,City Bus Services,Sumang Walk to Fullerton Road,1,3,65551,Blk 227A,Punggol Field,103.8933695,1.40374,One trip at 7.35am, $3.80 (card) / $4.00 (cash) / $2.00 (child) 
PBS 550,City Bus Services,Sumang Walk to Fullerton Road,1,4,65541,Bef Sumang Lane,Sumang Crescent,103.8912,1.403562,One trip at 7.35am, $3.80 (card) / $4.00 (cash) / $2.00 (child) 
PBS 550,City Bus Services,Sumang Walk to Fullerton Road,1,5,65531,Blk 226A,Sumang Lane,103.8936,1.4024,One trip at 7.35am, $3.80 (card) / $4.00 (cash) / $2.00 (child) 
PBS 550,City Bus Services,Sumang Walk to Fullerton Road,1,6,67399,Blk 325 CP,Sengkang East Way,103.8916701,1.39385006,One trip at 7.35am, $3.80 (card) / $4.00 (cash) / $2.00 (child) 
PBS 550,City Bus Services,Sumang Walk to Fullerton Road,1,7,67389,Blk 317B,Sengkang East Way,103.888691,1.394243778,One trip at 7.35am, $3.80 (card) / $4.00 (cash) / $2.00 (child) 
PBS 550,City Bus Services,Sumang Walk to Fullerton Road,1,8,67549,Opp Hockey Stadium,Sengkang East Way,1.394531733,103.8863816,One trip at 7.35am, $3.80 (card) / $4.00 (cash) / $2.00 (child) 
PBS 550,City Bus Services,Sumang Walk to Fullerton Road,1,9,67559,Opp Blk 471A,Sengkang West Way,103.880945,1.395493907,One trip at 7.35am, $3.80 (card) / $4.00 (cash) / $2.00 (child) 
PBS 550,City Bus Services,Sumang Walk to Fullerton Road,1,10,67569,Blk 432A,Sengkang West Way,103.877,1.395049992,One trip at 7.35am, $3.80 (card) / $4.00 (cash) / $2.00 (child) 
PBS 550,City Bus Services,Sumang Walk to Fullerton Road,1,11,67499,Fernvale Primary School,Sengkang West Avenue,103.8746787,1.390680287,One trip at 7.35am, $3.80 (card) / $4.00 (cash) / $2.00 (child) 
PBS 550,City Bus Services,Sumang Walk to Fullerton Road,1,12,68019,Aft Jalan Kayu,Sengkang West Avenue,103.8706061,1.39106694,One trip at 7.35am, $3.80 (card) / $4.00 (cash) / $2.00 (child) 
PBS 550,City Bus Services,Sumang Walk to Fullerton Road,1,13,-,Along the road opposite Genting Centre,Lim Teck Kim Road,103.842359,1.273522,One trip at 7.35am, $3.80 (card) / $4.00 (cash) / $2.00 (child) 
PBS 550,City Bus Services,Sumang Walk to Fullerton Road,1,14,3223,Tanjong Pagar Station Exit C,Anson Road,103.8463247,1.275703395,One trip at 7.35am, $3.80 (card) / $4.00 (cash) / $2.00 (child) 
PBS 550,City Bus Services,Sumang Walk to Fullerton Road,1,15,3151,Aft Telok Ayer St,Cecil Street ,103.8477623,1.278921246,One trip at 7.35am, $3.80 (card) / $4.00 (cash) / $2.00 (child) 
PBS 550,City Bus Services,Sumang Walk to Fullerton Road,1,16,3021,Prudential Tower,Cecil Street ,103.849989,1.282555246,One trip at 7.35am, $3.80 (card) / $4.00 (cash) / $2.00 (child) 
PBS 550,City Bus Services,Sumang Walk to Fullerton Road,1,17,-,Along the road outside Clifford Centre,Collyer Quay,103.852694,1.28369,One trip at 7.35am, $3.80 (card) / $4.00 (cash) / $2.00 (child) 
PBS 550,City Bus Services,Sumang Walk to Fullerton Road,1,18,3011,Fullerton Square,Fullerton Road,103.853336,1.285597589,One trip at 7.35am, $3.80 (card) / $4.00 (cash) / $2.00 (child) 
PBS 555,City Bus Services,Bukit Batok West Avenue 5 to Beach Road,1,1,40379,Blk 467 CP,Bukit Batok West Avenue 5,103.7435727,1.35754269,Two trips at 7.27am and 7.40am, Adult/Senior Citizen: $4 (cash)/$3.50 (card); Child/Student: $2 (card/cash) 
PBS 555,City Bus Services,Bukit Batok West Avenue 5 to Beach Road,1,2,43799,Blk 432A,Bukit Batok West Avenue 8,103.743215,1.360292,Two trips at 7.27am and 7.40am, Adult/Senior Citizen: $4 (cash)/$3.50 (card); Child/Student: $2 (card/cash) 
PBS 555,City Bus Services,Bukit Batok West Avenue 5 to Beach Road,1,3,43779,Blk 433C,Bukit Batok Road,103.7417703,1.36195562,Two trips at 7.27am and 7.40am, Adult/Senior Citizen: $4 (cash)/$3.50 (card); Child/Student: $2 (card/cash) 
PBS 555,City Bus Services,Bukit Batok West Avenue 5 to Beach Road,1,4,43789,Blk 436A,Bukit Batok Road,103.7395024,1.35915702,Two trips at 7.27am and 7.40am, Adult/Senior Citizen: $4 (cash)/$3.50 (card); Child/Student: $2 (card/cash) 
PBS 555,City Bus Services,Bukit Batok West Avenue 5 to Beach Road,1,5,40311,Blk 439C,Bukit Batok West Avenue 6,103.7389078,1.35730457,Two trips at 7.27am and 7.40am, Adult/Senior Citizen: $4 (cash)/$3.50 (card); Child/Student: $2 (card/cash) 
PBS 555,City Bus Services,Bukit Batok West Avenue 5 to Beach Road,1,6,40359,Opp Blk 461C,Bukit Batok West Avenue 6,103.7409058,1.35540219,Two trips at 7.27am and 7.40am, Adult/Senior Citizen: $4 (cash)/$3.50 (card); Child/Student: $2 (card/cash) 
PBS 555,City Bus Services,Bukit Batok West Avenue 5 to Beach Road,1,7,40309,Opp Blk 451A,Bukit Batok West Avenue 6,103.7429908,1.35367643,Two trips at 7.27am and 7.40am, Adult/Senior Citizen: $4 (cash)/$3.50 (card); Child/Student: $2 (card/cash) 
PBS 555,City Bus Services,Bukit Batok West Avenue 5 to Beach Road,1,8,43321,Opp Blk 144,Bukit Batok West Avenue 6,103.7451088,1.349906,Two trips at 7.27am and 7.40am, Adult/Senior Citizen: $4 (cash)/$3.50 (card); Child/Student: $2 (card/cash) 
PBS 555,City Bus Services,Bukit Batok West Avenue 5 to Beach Road,1,9,43371,Blk 109,Bukit Batok West Avenue 6,103.7459028,1.34682314,Two trips at 7.27am and 7.40am, Adult/Senior Citizen: $4 (cash)/$3.50 (card); Child/Student: $2 (card/cash) 
PBS 555,City Bus Services,Bukit Batok West Avenue 5 to Beach Road,1,10,43519,Opp Bukit Batok Swimming Complex,Bukit Batok East Avenue 6,103.7483578,1.34527424,Two trips at 7.27am and 7.40am, Adult/Senior Citizen: $4 (cash)/$3.50 (card); Child/Student: $2 (card/cash) 
PBS 555,City Bus Services,Bukit Batok West Avenue 5 to Beach Road,1,11,43509,Blk 291E,Bukit Batok Street 23,103.754364,1.34359093,Two trips at 7.27am and 7.40am, Adult/Senior Citizen: $4 (cash)/$3.50 (card); Child/Student: $2 (card/cash) 
PBS 555,City Bus Services,Bukit Batok West Avenue 5 to Beach Road,1,12,5651,Opp Fuji Xerox Towers,Tanjong Pagar Road,103.8430731,1.27321861,Two trips at 7.27am and 7.40am, Adult/Senior Citizen: $4 (cash)/$3.50 (card); Child/Student: $2 (card/cash) 
PBS 555,City Bus Services,Bukit Batok West Avenue 5 to Beach Road,1,13,5411,Tanjong Pagar Plaza,Tanjong Pagar Road,103.8430919,1.27519166,Two trips at 7.27am and 7.40am, Adult/Senior Citizen: $4 (cash)/$3.50 (card); Child/Student: $2 (card/cash) 
PBS 555,City Bus Services,Bukit Batok West Avenue 5 to Beach Road,1,14,-,Along the road outside Twenty Anson,Gopeng Street,103.845408,1.275124,Two trips at 7.27am and 7.40am, Adult/Senior Citizen: $4 (cash)/$3.50 (card); Child/Student: $2 (card/cash) 
PBS 555,City Bus Services,Bukit Batok West Avenue 5 to Beach Road,1,15,3151,Aft Telok Ayer St,Cecil Street,103.8477624,1.27892125,Two trips at 7.27am and 7.40am, Adult/Senior Citizen: $4 (cash)/$3.50 (card); Child/Student: $2 (card/cash) 
PBS 555,City Bus Services,Bukit Batok West Avenue 5 to Beach Road,1,16,3021,Prudential Tower,Cecil Street,103.849989,1.28255525,Two trips at 7.27am and 7.40am, Adult/Senior Citizen: $4 (cash)/$3.50 (card); Child/Student: $2 (card/cash) 
